timestamp,phase,lat,lon,alt,yaw_deg,distance_m,extra
2026-04-16T20:51:22,Connected,50.450739,30.461242,-0.01,359.71,,initial connection ok
2026-04-16T20:51:24,Takeoff,50.450739,30.461242,0.00,359.65,,target_alt=300.0
2026-04-16T20:51:25,Takeoff,50.450739,30.461242,0.00,359.62,,target_alt=300.0
2026-04-16T20:51:26,Takeoff,50.450739,30.461242,0.00,359.59,,target_alt=300.0
2026-04-16T20:51:27,Takeoff,50.450739,30.461242,0.11,359.56,,target_alt=300.0
2026-04-16T20:51:28,Takeoff,50.450739,30.461242,1.26,359.60,,target_alt=300.0
2026-04-16T20:51:29,Takeoff,50.450739,30.461242,3.36,359.71,,target_alt=300.0
2026-04-16T20:51:30,Takeoff,50.450739,30.461242,5.84,359.72,,target_alt=300.0
2026-04-16T20:51:31,Takeoff,50.450739,30.461242,8.37,359.74,,target_alt=300.0
2026-04-16T20:51:32,Takeoff,50.450739,30.461242,10.86,359.73,,target_alt=300.0
2026-04-16T20:51:33,Takeoff,50.450739,30.461242,13.32,359.72,,target_alt=300.0
2026-04-16T20:51:34,Takeoff,50.450739,30.461242,15.82,359.71,,target_alt=300.0
2026-04-16T20:51:35,Takeoff,50.450739,30.461242,18.30,359.71,,target_alt=300.0
2026-04-16T20:51:36,Takeoff,50.450739,30.461242,20.79,359.71,,target_alt=300.0
2026-04-16T20:51:37,Takeoff,50.450739,30.461242,23.34,359.68,,target_alt=300.0
2026-04-16T20:51:38,Takeoff,50.450739,30.461242,25.83,359.69,,target_alt=300.0
2026-04-16T20:51:39,Takeoff,50.450739,30.461242,28.33,359.70,,target_alt=300.0
2026-04-16T20:51:40,Takeoff,50.450739,30.461242,30.83,359.73,,target_alt=300.0
2026-04-16T20:51:41,Takeoff,50.450739,30.461243,33.32,359.73,,target_alt=300.0
2026-04-16T20:51:42,Takeoff,50.450739,30.461243,35.80,359.73,,target_alt=300.0
2026-04-16T20:51:43,Takeoff,50.450739,30.461242,38.30,359.71,,target_alt=300.0
2026-04-16T20:51:44,Takeoff,50.450739,30.461242,40.85,359.72,,target_alt=300.0
2026-04-16T20:51:45,Takeoff,50.450739,30.461242,43.27,359.74,,target_alt=300.0
2026-04-16T20:51:46,Takeoff,50.450739,30.461242,45.83,359.72,,target_alt=300.0
2026-04-16T20:51:47,Takeoff,50.450739,30.461242,48.36,359.73,,target_alt=300.0
2026-04-16T20:51:48,Takeoff,50.450739,30.461243,50.84,359.77,,target_alt=300.0
2026-04-16T20:51:49,Takeoff,50.450739,30.461243,53.37,359.66,,target_alt=300.0
2026-04-16T20:51:50,Takeoff,50.450739,30.461242,55.83,359.71,,target_alt=300.0
2026-04-16T20:51:51,Takeoff,50.450739,30.461242,58.34,359.72,,target_alt=300.0
2026-04-16T20:51:52,Takeoff,50.450739,30.461242,60.81,359.73,,target_alt=300.0
